Método,k,eps,Silhouette,Davies-Bouldin,Calinski-Harabasz
K-Means,5.0,,0.2241705968178642,1.4035272662470815,926.8147930855007
Hierárquico,5.0,,0.19940952962014552,1.439715961466042,704.9329045748221
DBSCAN,,1.2,0.2311759551272249,1.3830581410886793,90.03219179111487
